retweet_origin_user_id,bias,retweet_origin_username,screen_name
180107694,Center,Kaitlan Collins,kaitlancollins
22771961,Left,Jim Acosta,Acosta
237845487,Left,George Takei,GeorgeTakei
942156122,Left,Rep. Eric Swalwell,RepSwalwell
1339835893,Left,Hillary Clinton,HillaryClinton
767788995962998784,Left,Really American 🇺🇸,ReallyAmerican1
15952856,Left,Ari Berman,AriBerman
1209417007,Right,Steve Scalise,SteveScalise
26487169,Right,Lou Dobbs,LouDobbs
18382184,Left,Adam Parkhomenko,AdamParkhomenko
24578794,Center,Anthony Scaramucci,Scaramucci
39349894,Right,Eric Trump,EricTrump
48325671,Left,Chip Franklin.com,chipfranklin
620571475,Right,Dan Scavino Jr.🇺🇸🦅,DanScavino
36711022,Left,Dan Rather,DanRather
1113828112503115776,Center,A Worried Citizen,ThePubliusUSA
21001599,Left,Brian J. Karem,BrianKarem
16523905,Right,Robby Starbuck,robbystarbuck
813286,Left,Barack Obama,BarackObama
16989178,Right,James O'Keefe,JamesOKeefeIII
983766825610694656,Right,Andrew Pollack,AndrewPollackFL
3530404094,Right,David J Harris Jr,DavidJHarrisJr
3995778614,Left,Kambree,KamVTV
786309892990574592,Left,Steve Schmidt,SteveSchmidtSES
1003107003693137921,Left,Glenn Kirschner,glennkirschner2
2800581040,Right,Bill Kristol,BillKristol
874916178,Left,Michael Beschloss,BeschlossDC
755057897583804416,Left,Power to the People ☭🕊,ProudSocialist
2421067430,Left,Tea Pain,TeaPainUSA
736989573201301504,Center,Cari Kelemen,KelemenCari
19568591,Left,Ana Navarro-Cárdenas,ananavarro
78523300,Right,James Woods,RealJamesWoods
826065164504006657,Right,Marjorie Taylor Greene 🇺🇸,mtgreenee
33608041,Right,Kevin Sorbo,ksorbs
244655353,Left,David Axelrod,davidaxelrod
15212187,Right,Benny Johnson,bennyjohnson
89887215,Left,Yamiche Alcindor,Yamiche
52338305,Right,Brandon Straka,BrandonStraka
38495835,Right,Mark R. Levin,marklevinshow
123281100,Left,Andy Ostroy,AndyOstroy
91583544,Right,Nick Adams (Alpha Male),NickAdamsinUSA
14529929,Center,Jake Tapper,jaketapper
2475407894,Left,Hugo Lowell,hugolowell
3932768472,Right,Emerald Robinson ✝️,EmeraldRobinson
15808765,Left,Cory Booker,CoryBooker
2233154425,Left,Stephen King,StephenKing
4091551984,Left,Laurence Tribe 🇺🇦 ⚖️,tribelaw
16581604,Center,Mike Bloomberg,MikeBloomberg
1812055789,Right,Ron,CodeMonkeyZ
43014978,Left,D Villella ❄️,dvillella
15220768,Left,David Corn,DavidCornDC
324703658,Left,Rex Chapman🏇🏼,RexChapman
49698134,Left,Mkay,JoyAnnReid
19084896,Right,Rick Wilson,TheRickWilson
1651522832,Left,"Dena Grayson, MD, PhD",DrDenaGrayson
17494010,Left,Chuck Schumer,SenSchumer
29501253,Left,Adam Schiff,RepAdamSchiff
20640982,Left,Chris D. Jackson,ChrisDJackson
1080188052365029376,Center,Alex Cole,acnewsitics
432895323,Right,Lindsey Graham,LindseyGrahamSC
17685258,Right,Brad Parscale,parscale
4878610324,Left,PoliticsVideoChannel,politvidchannel
988573326376427520,Right,Secretary Pompeo,SecPompeo
22129280,Left,Jim Sciutto,jimsciutto
18320938,Left,(((DeanObeidallah))),DeanObeidallah
34367582,Right,Tim Young,TimRunsHisMouth
44385628,Right,Greg Kelly,gregkellyusa
2853461537,Right,Scott Adams,ScottAdamsSays
850507814023942144,Right,George Papadopoulos,GeorgePapa19
4207961,Left,Chris Hayes,chrislhayes
817158775610179584,Center,Chicago1Ray 🇺🇸,Chicago1Ray
16160352,Left,Claire McCaskill,clairecmc
493714995,Left,John Pavlovitz,johnpavlovitz
49034507,Right,Real Defender🇺🇸,real_defender
1075121162743676928,Center,Hamish Mitchell,H_MitchellPhoto
827934520112472065,Left,Richard Saunders,BoycottUtah
960285302899298304,Right,Evan Kilgore 🇺🇸,EvanAKilgore
848148994102611969,Center,Angry Staffer 🌻,Angry_Staffer
2836454576,Left,Paul the other one...,paulcshipley
39155029,Center,Manu Raju,mkraju
150078976,Left,Chris Murphy 🟧,ChrisMurphyCT
875856268056969216,Right,DC_Draino,DC_Draino
1685873604,Left,Angela Belcamino,AngelaBelcamino
14642495,Left,Sarah Cooper,sarahcpr
1074480192,Right,Senator Ted Cruz,SenTedCruz
1221462414744596483,Left,Republicans against Trump,RpsAgainstTrump
215207998,Left,Kurt Eichenwald,kurteichenwald
52544275,Right,Ivanka Trump,IvankaTrump
429227921,Left,Cenk Uygur,cenkuygur
